year,age,age_bin,gender,country,region,state,company_size,benefits,treatment,work_interfere,remote_work,family_history,self_employed,tech_company,care_options,wellness_program,seek_help,anonymity
2014,37.0,30–39,Female,United States,North America,IL,6-25,Yes,Yes,Often,No,No,Unknown,Yes,Not sure,No,Yes,Yes
2014,44.0,40–49,Male,United States,North America,IN,More than 1000,Don't know,No,Rarely,No,No,Unknown,No,No,Don't know,Don't know,Don't know
2014,32.0,30–39,Male,Canada,North America,<missing>,6-25,No,No,Rarely,No,No,Unknown,Yes,No,No,No,Don't know
2014,31.0,30–39,Male,United Kingdom,Europe,<missing>,26-100,No,Yes,Often,No,Yes,Unknown,Yes,Yes,No,No,No
2014,31.0,30–39,Male,United States,North America,TX,100-500,Yes,No,Never,Yes,No,Unknown,Yes,No,Don't know,Don't know,Don't know
2014,33.0,30–39,Male,United States,North America,TN,6-25,Yes,No,Sometimes,No,Yes,Unknown,Yes,Not sure,No,Don't know,Don't know
2014,35.0,30–39,Female,United States,North America,MI,1-5,No,Yes,Sometimes,Yes,Yes,Unknown,Yes,No,No,No,No
2014,39.0,30–39,Male,Canada,North America,<missing>,1-5,No,No,Never,Yes,No,Unknown,Yes,Yes,No,No,Yes
2014,42.0,40–49,Female,United States,North America,IL,100-500,Yes,Yes,Sometimes,No,Yes,Unknown,Yes,Yes,No,No,No
2014,23.0,20–29,Male,Canada,North America,<missing>,26-100,Don't know,No,Never,No,No,Unknown,Yes,No,Don't know,Don't know,Don't know
2014,31.0,30–39,Male,United States,North America,OH,6-25,Don't know,Yes,Sometimes,Yes,No,Unknown,Yes,No,No,No,Don't know
2014,29.0,20–29,Male,Bulgaria,Other / Unknown,<missing>,100-500,Don't know,No,Never,Yes,No,Unknown,Yes,Not sure,No,No,Don't know
2014,42.0,40–49,Female,United States,North America,CA,26-100,Yes,Yes,Sometimes,No,Yes,Unknown,No,Yes,No,No,Don't know
2014,36.0,30–39,Male,United States,North America,CT,500-1000,Don't know,No,Never,No,Yes,Unknown,Yes,Not sure,No,Don't know,Don't know
2014,27.0,20–29,Male,Canada,North America,<missing>,6-25,Don't know,No,Never,No,No,Unknown,Yes,Not sure,Don't know,Don't know,Don't know
2014,29.0,20–29,Female,United States,North America,IL,26-100,Yes,Yes,Rarely,No,Yes,Unknown,Yes,Not sure,No,No,Don't know
2014,23.0,20–29,Male,United Kingdom,Europe,<missing>,26-100,Don't know,Yes,Sometimes,Yes,No,Unknown,Yes,No,Don't know,Don't know,Don't know
2014,32.0,30–39,Male,United States,North America,TN,6-25,Yes,Yes,Sometimes,No,No,Unknown,Yes,Yes,No,Don't know,Don't know
2014,46.0,40–49,Male,United States,North America,MD,1-5,Yes,No,Sometimes,Yes,Yes,Yes,Yes,Not sure,Yes,Don't know,Yes
2014,36.0,30–39,Male,France,Europe,<missing>,6-25,No,No,<missing>,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2014,29.0,20–29,Male,United States,North America,NY,100-500,Yes,Yes,Sometimes,No,Yes,No,Yes,Yes,No,No,No
2014,31.0,30–39,Male,United States,North America,NC,1-5,No,No,Never,Yes,No,Yes,Yes,No,No,No,Yes
2014,46.0,40–49,Male,United States,North America,MA,26-100,Yes,Yes,Often,Yes,No,No,Yes,Yes,No,No,Don't know
2014,41.0,40–49,Male,United States,North America,IA,More than 1000,Don't know,Yes,Never,No,No,No,No,No,No,Don't know,Don't know
2014,33.0,30–39,Male,United States,North America,CA,26-100,Yes,Yes,Rarely,No,Yes,No,Yes,Not sure,Don't know,Yes,Yes
2014,35.0,30–39,Male,United States,North America,TN,More than 1000,Yes,Yes,Sometimes,No,Yes,No,No,Yes,No,Don't know,No
2014,33.0,30–39,Male,United States,North America,TN,1-5,Don't know,No,<missing>,No,No,No,Yes,Not sure,No,Don't know,Don't know
2014,35.0,30–39,Female,United States,North America,CA,6-25,Yes,Yes,Rarely,Yes,Yes,No,Yes,Yes,Don't know,Don't know,Don't know
2014,34.0,30–39,Male,United States,North America,OH,26-100,Don't know,Yes,Sometimes,Yes,No,No,Yes,Not sure,No,Don't know,Don't know
2014,37.0,30–39,Male,United Kingdom,Europe,<missing>,6-25,No,No,Sometimes,No,No,No,Yes,No,No,No,Don't know
2014,32.0,30–39,Male,United Kingdom,Europe,<missing>,6-25,No,No,Never,Yes,No,No,Yes,No,No,No,Don't know
2014,31.0,30–39,Male,United States,North America,PA,1-5,No,No,Rarely,Yes,Yes,Yes,Yes,Yes,No,No,Don't know
2014,30.0,30–39,Male,United Kingdom,Europe,<missing>,500-1000,Don't know,Yes,Sometimes,Yes,Yes,No,Yes,No,No,No,Yes
2014,42.0,40–49,Male,United States,North America,WA,26-100,Yes,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
2014,40.0,40–49,Female,United States,North America,WI,1-5,Yes,Yes,Sometimes,No,No,No,Yes,Yes,No,No,Don't know
2014,27.0,20–29,Male,United States,North America,NY,6-25,No,Yes,Rarely,No,No,No,Yes,Yes,No,No,Don't know
2014,29.0,20–29,Male,Canada,North America,<missing>,1-5,No,No,Rarely,No,No,No,Yes,No,No,No,Don't know
2014,38.0,30–39,Male,Portugal,Europe,<missing>,100-500,No,No,<missing>,No,No,No,Yes,Yes,No,No,Don't know
2014,50.0,50+,Male,United States,North America,IN,100-500,Yes,No,<missing>,No,No,No,Yes,Yes,No,Don't know,Don't know
2014,35.0,30–39,Male,United States,North America,TX,More than 1000,Yes,Yes,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes
2014,24.0,20–29,Male,United Kingdom,Europe,<missing>,6-25,No,Yes,Sometimes,No,No,No,Yes,No,No,No,Don't know
2014,35.0,30–39,Male,United States,North America,MI,More than 1000,Yes,No,<missing>,Yes,No,No,Yes,Not sure,Don't know,Yes,Don't know
2014,27.0,20–29,Male,Canada,North America,<missing>,1-5,No,Yes,Sometimes,No,Yes,No,Yes,Yes,No,No,Yes
2014,18.0,<20,Male,Netherlands,Europe,<missing>,6-25,No,No,Often,No,No,No,Yes,Not sure,No,No,Don't know
2014,30.0,30–39,Male,United States,North America,IN,26-100,Don't know,Yes,Sometimes,No,No,No,Yes,No,No,No,Don't know
2014,38.0,30–39,Female,United States,North America,TX,26-100,Yes,Yes,Sometimes,No,Yes,No,Yes,Yes,No,Yes,Yes
2014,28.0,20–29,Male,United Kingdom,Europe,<missing>,26-100,Don't know,No,<missing>,No,No,No,Yes,Not sure,No,No,Don't know
2014,34.0,30–39,Male,United States,North America,TN,6-25,No,No,<missing>,No,No,No,Yes,No,No,No,Don't know
2014,26.0,20–29,Male,Canada,North America,<missing>,1-5,No,No,Sometimes,No,No,Yes,Yes,Yes,Yes,No,Don't know
2014,30.0,30–39,Male,United States,North America,IL,26-100,Yes,Yes,Rarely,No,Yes,No,Yes,No,No,Don't know,Don't know
2014,22.0,20–29,Male,United States,North America,TX,6-25,No,Yes,Often,No,Yes,No,Yes,Yes,No,No,Yes
2014,33.0,30–39,Male,United States,North America,UT,100-500,Don't know,No,<missing>,Yes,No,No,Yes,Not sure,Don't know,Don't know,Don't know
2014,31.0,30–39,Male,United States,North America,<missing>,100-500,Don't know,No,<missing>,Yes,No,No,Yes,No,Don't know,Don't know,Don't know
2014,32.0,30–39,Male,United States,North America,TN,1-5,Don't know,No,Never,Yes,No,No,Yes,Not sure,No,No,Don't know
2014,28.0,20–29,Male,Switzerland,Europe,<missing>,100-500,No,No,<missing>,No,No,No,Yes,No,No,No,Don't know
2014,27.0,20–29,Male,United States,North America,NY,26-100,Yes,Yes,Rarely,No,Yes,No,Yes,Yes,No,No,Yes
2014,32.0,30–39,Non-binary / Other,United States,North America,TN,6-25,Don't know,No,<missing>,Yes,Yes,No,Yes,No,No,No,Don't know
2014,24.0,20–29,Male,United States,North America,NY,26-100,Don't know,Yes,Sometimes,Yes,Yes,No,Yes,No,No,No,Don't know
2014,26.0,20–29,Male,United States,North America,TN,26-100,No,No,<missing>,No,No,No,No,No,No,No,Yes
2014,33.0,30–39,Male,Canada,North America,<missing>,6-25,Don't know,Yes,Often,Yes,Yes,No,Yes,No,No,No,No
2014,44.0,40–49,Male,United States,North America,IA,More than 1000,Yes,Yes,Sometimes,No,Yes,No,No,No,No,Don't know,Don't know
2014,26.0,20–29,Female,Poland,Europe,<missing>,26-100,Don't know,Yes,Sometimes,Yes,No,No,Yes,Not sure,Yes,Yes,Yes
2014,27.0,20–29,Male,United Kingdom,Europe,<missing>,100-500,Yes,No,Never,No,No,No,Yes,Not sure,No,Yes,Don't know
2014,26.0,20–29,Male,France,Europe,<missing>,26-100,No,No,<missing>,No,No,No,Yes,No,No,No,Don't know
2014,35.0,30–39,Male,Canada,North America,<missing>,6-25,Don't know,No,Sometimes,No,No,No,Yes,No,No,No,Don't know
2014,40.0,40–49,Male,United States,North America,CA,More than 1000,Yes,No,Sometimes,Yes,Yes,No,Yes,Yes,Yes,Yes,Don't know
2014,23.0,20–29,Female,Australia,Oceania,<missing>,1-5,No,Yes,Often,Yes,Yes,No,Yes,Not sure,No,No,Don't know
2014,36.0,30–39,Male,United States,North America,TX,100-500,Yes,No,Sometimes,Yes,No,No,Yes,No,Don't know,Yes,Don't know
2014,31.0,30–39,Female,United States,North America,NM,26-100,Don't know,No,<missing>,Yes,No,No,No,No,Don't know,Don't know,Don't know
2014,34.0,30–39,Male,United States,North America,NY,1-5,No,No,Rarely,Yes,No,Yes,Yes,No,No,No,Don't know
2014,28.0,20–29,Male,France,Europe,<missing>,26-100,No,No,Never,No,No,No,Yes,No,No,No,Don't know
2014,34.0,30–39,Male,Canada,North America,<missing>,6-25,Don't know,No,Never,No,No,No,Yes,Not sure,Don't know,Don't know,Don't know
2014,23.0,20–29,Female,United States,North America,MA,More than 1000,Yes,No,Rarely,No,No,No,Yes,Yes,No,No,Yes
2014,38.0,30–39,Male,United Kingdom,Europe,<missing>,26-100,No,No,<missing>,No,No,No,Yes,No,No,Don't know,Yes
2014,33.0,30–39,Male,United States,North America,CA,More than 1000,Don't know,No,Never,No,No,No,Yes,Not sure,Yes,Don't know,Don't know
2014,19.0,<20,Male,United Kingdom,Europe,<missing>,1-5,No,No,<missing>,No,No,No,Yes,Yes,No,No,No
2014,25.0,20–29,Male,United States,North America,WA,More than 1000,Yes,No,<missing>,Yes,No,No,Yes,Yes,Yes,Yes,Don't know
2014,31.0,30–39,Male,United States,North America,WA,1-5,No,No,Sometimes,Yes,Yes,Yes,Yes,No,No,No,Yes
2014,32.0,30–39,Male,United States,North America,UT,26-100,No,Yes,Sometimes,Yes,Yes,No,Yes,No,No,No,Don't know
2014,28.0,20–29,Male,Germany,Europe,<missing>,6-25,Don't know,No,Never,Yes,No,No,Yes,No,Don't know,Don't know,Don't know
2014,38.0,30–39,Male,United States,North America,NY,100-500,Yes,No,Sometimes,Yes,Yes,No,Yes,Yes,No,Yes,Don't know
2014,23.0,20–29,Male,United Kingdom,Europe,<missing>,26-100,Yes,No,Never,No,No,No,Yes,Not sure,Yes,Don't know,Don't know
2014,30.0,30–39,Male,Canada,North America,<missing>,26-100,No,No,Never,No,No,No,No,No,No,No,Don't know
2014,27.0,20–29,Female,United States,North America,NY,1-5,Yes,Yes,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2014,33.0,30–39,Male,United States,North America,CA,More than 1000,No,No,Never,No,Yes,No,Yes,No,No,No,Don't know
2014,31.0,30–39,Male,United States,North America,TX,26-100,Don't know,No,<missing>,No,No,No,Yes,Not sure,No,No,Don't know
2014,39.0,30–39,Male,United Kingdom,Europe,<missing>,6-25,No,Yes,Often,No,No,Yes,Yes,No,No,No,Don't know
2014,34.0,30–39,Female,United States,North America,OR,500-1000,Yes,Yes,Rarely,Yes,Yes,No,Yes,Not sure,No,Don't know,Don't know
2014,29.0,20–29,Female,United States,North America,FL,26-100,Yes,Yes,Sometimes,No,No,No,Yes,Yes,No,No,Don't know
2014,32.0,30–39,Male,United States,North America,IL,500-1000,Don't know,No,<missing>,No,No,No,Yes,No,No,Don't know,Don't know
2014,31.0,30–39,Male,United States,North America,NY,500-1000,Yes,No,Never,No,No,No,Yes,Yes,Yes,Yes,Yes
2014,40.0,40–49,Male,United States,North America,TX,26-100,No,Yes,Sometimes,No,No,No,Yes,Yes,No,No,Yes
2014,34.0,30–39,Male,United States,North America,OH,26-100,Don't know,No,<missing>,No,No,No,Yes,No,No,No,Don't know
